"시도별","시점",데이터
"서울특별시","2018",25053
"서울특별시","2019",26229
"서울특별시","2020",26428
"서울특별시","2021",27119
"서울특별시","2022",28187
"서울특별시","2023 p)",29372
"부산광역시","2018",20022
"부산광역시","2019",21096
"부산광역시","2020",21715
"부산광역시","2021",22338
"부산광역시","2022",23730
"부산광역시","2023 p)",24026
"대구광역시","2018",19891
"대구광역시","2019",20760
"대구광역시","2020",21581
"대구광역시","2021",22197
"대구광역시","2022",23425
"대구광역시","2023 p)",23760
"인천광역시","2018",20522
"인천광역시","2019",21517
"인천광역시","2020",22338
"인천광역시","2021",23053
"인천광역시","2022",24387
"인천광역시","2023 p)",24665
"광주광역시","2018",20675
"광주광역시","2019",21759
"광주광역시","2020",22766
"광주광역시","2021",23649
"광주광역시","2022",25203
"광주광역시","2023 p)",25378
"대전광역시","2018",21756
"대전광역시","2019",22978
"대전광역시","2020",23916
"대전광역시","2021",24774
"대전광역시","2022",26158
"대전광역시","2023 p)",26493
"울산광역시","2018",23252
"울산광역시","2019",24079
"울산광역시","2020",24671
"울산광역시","2021",25672
"울산광역시","2022",27079
"울산광역시","2023 p)",28102
"세종특별자치시","2018",22790
"세종특별자치시","2019",23515
"세종특별자치시","2020",24369
"세종특별자치시","2021",25346
"세종특별자치시","2022",25854
"세종특별자치시","2023 p)",25995
"경기도","2018",21488
"경기도","2019",22552
"경기도","2020",23379
"경기도","2021",23962
"경기도","2022",25248
"경기도","2023 p)",25696
"강원특별자치도","2018",19285
"강원특별자치도","2019",20221
"강원특별자치도","2020",21294
"강원특별자치도","2021",22104
"강원특별자치도","2022",23029
"강원특별자치도","2023 p)",23326
"충청북도","2018",19734
"충청북도","2019",20770
"충청북도","2020",21801
"충청북도","2021",22873
"충청북도","2022",24181
"충청북도","2023 p)",24667
"충청남도","2018",19292
"충청남도","2019",20125
"충청남도","2020",21308
"충청남도","2021",22047
"충청남도","2022",23176
"충청남도","2023 p)",23647
"전북특별자치도","2018",19302
"전북특별자치도","2019",20271
"전북특별자치도","2020",21444
"전북특별자치도","2021",22029
"전북특별자치도","2022",23633
"전북특별자치도","2023 p)",24157
"전라남도","2018",19384
"전라남도","2019",20355
"전라남도","2020",21395
"전라남도","2021",22270
"전라남도","2022",23748
"전라남도","2023 p)",24604
"경상북도","2018",18856
"경상북도","2019",19655
"경상북도","2020",20631
"경상북도","2021",21251
"경상북도","2022",22426
"경상북도","2023 p)",22921
"경상남도","2018",19217
"경상남도","2019",19860
"경상남도","2020",20622
"경상남도","2021",21262
"경상남도","2022",22447
"경상남도","2023 p)",22769
"제주특별자치도","2018",19402
"제주특별자치도","2019",19979
"제주특별자치도","2020",20835
"제주특별자치도","2021",21396
"제주특별자치도","2022",22481
"제주특별자치도","2023 p)",22893
