"시도별","성별","시점",데이터
"서울특별시","계","2018",62.6
"서울특별시","계","2019",62.7
"서울특별시","계","2020",62.1
"서울특별시","계","2021",62.3
"서울특별시","계","2022",62.5
"서울특별시","계","2023",62.8
"부산광역시","계","2018",58.1
"부산광역시","계","2019",58.8
"부산광역시","계","2020",58.1
"부산광역시","계","2021",58.2
"부산광역시","계","2022",58.9
"부산광역시","계","2023",59.6
"대구광역시","계","2018",60.9
"대구광역시","계","2019",60.2
"대구광역시","계","2020",58.9
"대구광역시","계","2021",60.5
"대구광역시","계","2022",60.9
"대구광역시","계","2023",61.7
"인천광역시","계","2018",65.7
"인천광역시","계","2019",65.4
"인천광역시","계","2020",64.2
"인천광역시","계","2021",63.9
"인천광역시","계","2022",64.8
"인천광역시","계","2023",65.2
"광주광역시","계","2018",61.7
"광주광역시","계","2019",61.5
"광주광역시","계","2020",61.0
"광주광역시","계","2021",60.3
"광주광역시","계","2022",60.4
"광주광역시","계","2023",61.6
"대전광역시","계","2018",61.3
"대전광역시","계","2019",62.4
"대전광역시","계","2020",63.4
"대전광역시","계","2021",63.0
"대전광역시","계","2022",63.1
"대전광역시","계","2023",63.4
"울산광역시","계","2018",61.8
"울산광역시","계","2019",61.7
"울산광역시","계","2020",60.7
"울산광역시","계","2021",59.8
"울산광역시","계","2022",61.1
"울산광역시","계","2023",61.9
"세종특별자치시","계","2018",63.2
"세종특별자치시","계","2019",64.3
"세종특별자치시","계","2020",64.5
"세종특별자치시","계","2021",64.0
"세종특별자치시","계","2022",65.0
"세종특별자치시","계","2023",65.9
"경기도","계","2018",64.4
"경기도","계","2019",64.3
"경기도","계","2020",62.8
"경기도","계","2021",63.5
"경기도","계","2022",65.7
"경기도","계","2023",65.7
"강원특별자치도","계","2018",62.5
"강원특별자치도","계","2019",64.6
"강원특별자치도","계","2020",63.3
"강원특별자치도","계","2021",63.7
"강원특별자치도","계","2022",63.9
"강원특별자치도","계","2023",65.1
"충청북도","계","2018",64.9
"충청북도","계","2019",64.9
"충청북도","계","2020",65.3
"충청북도","계","2021",65.0
"충청북도","계","2022",66.5
"충청북도","계","2023",67.0
"충청남도","계","2018",65.6
"충청남도","계","2019",65.6
"충청남도","계","2020",64.6
"충청남도","계","2021",64.5
"충청남도","계","2022",65.8
"충청남도","계","2023",66.5
"전북특별자치도","계","2018",59.9
"전북특별자치도","계","2019",61.0
"전북특별자치도","계","2020",61.5
"전북특별자치도","계","2021",62.6
"전북특별자치도","계","2022",63.7
"전북특별자치도","계","2023",64.9
"전라남도","계","2018",64.2
"전라남도","계","2019",65.1
"전라남도","계","2020",65.4
"전라남도","계","2021",66.2
"전라남도","계","2022",67.8
"전라남도","계","2023",68.4
"경상북도","계","2018",64.2
"경상북도","계","2019",64.2
"경상북도","계","2020",63.7
"경상북도","계","2021",63.0
"경상북도","계","2022",64.5
"경상북도","계","2023",65.2
"경상남도","계","2018",63.3
"경상남도","계","2019",63.7
"경상남도","계","2020",63.1
"경상남도","계","2021",63.2
"경상남도","계","2022",63.1
"경상남도","계","2023",63.6
"제주도","계","2018",69.8
"제주도","계","2019",69.9
"제주도","계","2020",68.8
"제주도","계","2021",69.6
"제주도","계","2022",71.4
"제주도","계","2023",70.6
