"시도별","성별","시점",데이터
"서울특별시","계","2018",59.6
"서울특별시","계","2019",60.0
"서울특별시","계","2020",59.3
"서울특별시","계","2021",59.2
"서울특별시","계","2022",60.4
"서울특별시","계","2023",61.1
"부산광역시","계","2018",55.7
"부산광역시","계","2019",56.6
"부산광역시","계","2020",55.6
"부산광역시","계","2021",56.2
"부산광역시","계","2022",57.1
"부산광역시","계","2023",57.7
"대구광역시","계","2018",58.2
"대구광역시","계","2019",57.9
"대구광역시","계","2020",56.6
"대구광역시","계","2021",58.2
"대구광역시","계","2022",59.1
"대구광역시","계","2023",59.8
"인천광역시","계","2018",62.9
"인천광역시","계","2019",62.5
"인천광역시","계","2020",61.3
"인천광역시","계","2021",61.3
"인천광역시","계","2022",62.7
"인천광역시","계","2023",63.1
"광주광역시","계","2018",59.4
"광주광역시","계","2019",59.3
"광주광역시","계","2020",58.7
"광주광역시","계","2021",58.2
"광주광역시","계","2022",58.6
"광주광역시","계","2023",60.1
"대전광역시","계","2018",58.7
"대전광역시","계","2019",59.8
"대전광역시","계","2020",60.7
"대전광역시","계","2021",60.9
"대전광역시","계","2022",61.6
"대전광역시","계","2023",61.6
"울산광역시","계","2018",59.0
"울산광역시","계","2019",59.1
"울산광역시","계","2020",58.1
"울산광역시","계","2021",57.7
"울산광역시","계","2022",59.2
"울산광역시","계","2023",59.7
"세종특별자치시","계","2018",61.8
"세종특별자치시","계","2019",62.5
"세종특별자치시","계","2020",62.7
"세종특별자치시","계","2021",62.6
"세종특별자치시","계","2022",63.7
"세종특별자치시","계","2023",64.6
"경기도","계","2018",62.0
"경기도","계","2019",61.9
"경기도","계","2020",60.3
"경기도","계","2021",61.1
"경기도","계","2022",63.9
"경기도","계","2023",64.0
"강원특별자치도","계","2018",60.7
"강원특별자치도","계","2019",62.3
"강원특별자치도","계","2020",60.8
"강원특별자치도","계","2021",61.4
"강원특별자치도","계","2022",61.8
"강원특별자치도","계","2023",63.3
"충청북도","계","2018",63.3
"충청북도","계","2019",62.9
"충청북도","계","2020",63.2
"충청북도","계","2021",63.3
"충청북도","계","2022",64.9
"충청북도","계","2023",65.4
"충청남도","계","2018",63.5
"충청남도","계","2019",63.7
"충청남도","계","2020",62.4
"충청남도","계","2021",63.0
"충청남도","계","2022",64.3
"충청남도","계","2023",64.8
"전북특별자치도","계","2018",58.3
"전북특별자치도","계","2019",59.3
"전북특별자치도","계","2020",59.9
"전북특별자치도","계","2021",61.2
"전북특별자치도","계","2022",62.2
"전북특별자치도","계","2023",63.3
"전라남도","계","2018",62.4
"전라남도","계","2019",63.4
"전라남도","계","2020",63.9
"전라남도","계","2021",64.6
"전라남도","계","2022",66.3
"전라남도","계","2023",66.9
"경상북도","계","2018",61.6
"경상북도","계","2019",61.7
"경상북도","계","2020",61.1
"경상북도","계","2021",61.0
"경상북도","계","2022",62.9
"경상북도","계","2023",63.5
"경상남도","계","2018",61.4
"경상남도","계","2019",61.3
"경상남도","계","2020",60.6
"경상남도","계","2021",60.7
"경상남도","계","2022",61.1
"경상남도","계","2023",62.0
"제주도","계","2018",68.4
"제주도","계","2019",68.4
"제주도","계","2020",67.1
"제주도","계","2021",67.4
"제주도","계","2022",69.9
"제주도","계","2023",69.2
