"행정구역별","시점",데이터
"서울특별시","2018",289342
"서울특별시","2019",317269
"서울특별시","2020",369518
"서울특별시","2021",402632
"서울특별시","2022",412409
"서울특별시","2023",427880
"부산광역시","2018",159031
"부산광역시","2019",172439
"부산광역시","2020",196299
"부산광역시","2021",217335
"부산광역시","2022",227066
"부산광역시","2023",234657
"대구광역시","2018",110495
"대구광역시","2019",117594
"대구광역시","2020",131374
"대구광역시","2021",144092
"대구광역시","2022",148146
"대구광역시","2023",154802
"인천광역시","2018",110257
"인천광역시","2019",122027
"인천광역시","2020",142628
"인천광역시","2021",159186
"인천광역시","2022",166083
"인천광역시","2023",174116
"광주광역시","2018",72757
"광주광역시","2019",76193
"광주광역시","2020",84762
"광주광역시","2021",91548
"광주광역시","2022",94137
"광주광역시","2023",96473
"대전광역시","2018",56324
"대전광역시","2019",59317
"대전광역시","2020",66775
"대전광역시","2021",72908
"대전광역시","2022",75140
"대전광역시","2023",77554
"울산광역시","2018",22939
"울산광역시","2019",26594
"울산광역시","2020",33232
"울산광역시","2021",38575
"울산광역시","2022",41510
"울산광역시","2023",43817
"세종특별자치시","2018",4862
"세종특별자치시","2019",5749
"세종특별자치시","2020",7107
"세종특별자치시","2021",7880
"세종특별자치시","2022",8165
"세종특별자치시","2023",8607
"경기도","2018",297122
"경기도","2019",328752
"경기도","2020",379725
"경기도","2021",422615
"경기도","2022",443985
"경기도","2023",474086
"강원특별자치도","2018",67064
"강원특별자치도","2019",71493
"강원특별자치도","2020",78554
"강원특별자치도","2021",84114
"강원특별자치도","2022",85681
"강원특별자치도","2023",86667
"충청북도","2018",59109
"충청북도","2019",62507
"충청북도","2020",69262
"충청북도","2021",76619
"충청북도","2022",78709
"충청북도","2023",81577
"충청남도","2018",65692
"충청남도","2019",69022
"충청남도","2020",75720
"충청남도","2021",84802
"충청남도","2022",88800
"충청남도","2023",92992
"전북특별자치도","2018",101228
"전북특별자치도","2019",105955
"전북특별자치도","2020",115182
"전북특별자치도","2021",125438
"전북특별자치도","2022",128522
"전북특별자치도","2023",131557
"전라남도","2018",84819
"전라남도","2019",87003
"전라남도","2020",92666
"전라남도","2021",101475
"전라남도","2022",104064
"전라남도","2023",107240
"경상북도","2018",107309
"경상북도","2019",113845
"경상북도","2020",125106
"경상북도","2021",141175
"경상북도","2022",147353
"경상북도","2023",151253
"경상남도","2018",112183
"경상남도","2019",121275
"경상남도","2020",137605
"경상남도","2021",156832
"경상남도","2022",168197
"경상남도","2023",176280
"제주특별자치도","2018",23157
"제주특별자치도","2019",24323
"제주특별자치도","2020",28671
"제주특별자치도","2021",32446
"제주특별자치도","2022",33491
"제주특별자치도","2023",35069
