"행정구역별","시점",데이터
"서울특별시","2018",27.7
"서울특별시","2019",27.2
"서울특별시","2020",29.5
"서울특별시","2021",28.0
"서울특별시","2022",25.7
"서울특별시","2023",27.1
"부산광역시","2018",24.4
"부산광역시","2019",23.7
"부산광역시","2020",25.8
"부산광역시","2021",25.7
"부산광역시","2022",22.8
"부산광역시","2023",23.9
"대구광역시","2018",23.3
"대구광역시","2019",25.1
"대구광역시","2020",23.1
"대구광역시","2021",24.2
"대구광역시","2022",22.6
"대구광역시","2023",23.8
"인천광역시","2018",31.7
"인천광역시","2019",29.9
"인천광역시","2020",32.8
"인천광역시","2021",29.5
"인천광역시","2022",26.3
"인천광역시","2023",27.0
"광주광역시","2018",26.4
"광주광역시","2019",28.1
"광주광역시","2020",27.4
"광주광역시","2021",27.7
"광주광역시","2022",25.9
"광주광역시","2023",24.7
"대전광역시","2018",27.9
"대전광역시","2019",25.2
"대전광역시","2020",23.9
"대전광역시","2021",24.0
"대전광역시","2022",24.5
"대전광역시","2023",28.3
"울산광역시","2018",25.2
"울산광역시","2019",23.9
"울산광역시","2020",25.6
"울산광역시","2021",24.8
"울산광역시","2022",21.9
"울산광역시","2023",25.8
"세종특별자치시","2018",30.1
"세종특별자치시","2019",29.2
"세종특별자치시","2020",24.1
"세종특별자치시","2021",25.5
"세종특별자치시","2022",20.1
"세종특별자치시","2023",25.8
"경기도","2018",28.4
"경기도","2019",27.7
"경기도","2020",29.0
"경기도","2021",28.1
"경기도","2022",24.6
"경기도","2023",27.7
"강원특별자치도","2018",27.0
"강원특별자치도","2019",24.9
"강원특별자치도","2020",28.3
"강원특별자치도","2021",28.3
"강원특별자치도","2022",25.5
"강원특별자치도","2023",27.2
"충청북도","2018",27.1
"충청북도","2019",26.2
"충청북도","2020",26.2
"충청북도","2021",27.2
"충청북도","2022",25.2
"충청북도","2023",26.3
"충청남도","2018",26.9
"충청남도","2019",29.7
"충청남도","2020",27.5
"충청남도","2021",27.0
"충청남도","2022",25.4
"충청남도","2023",27.7
"전북특별자치도","2018",28.7
"전북특별자치도","2019",26.1
"전북특별자치도","2020",27.0
"전북특별자치도","2021",26.2
"전북특별자치도","2022",24.9
"전북특별자치도","2023",26.5
"전라남도","2018",25.4
"전라남도","2019",24.2
"전라남도","2020",21.7
"전라남도","2021",23.7
"전라남도","2022",21.5
"전라남도","2023",25.6
"경상북도","2018",24.5
"경상북도","2019",24.3
"경상북도","2020",25.2
"경상북도","2021",24.7
"경상북도","2022",23.4
"경상북도","2023",23.9
"경상남도","2018",25.0
"경상남도","2019",24.0
"경상남도","2020",26.4
"경상남도","2021",24.9
"경상남도","2022",23.1
"경상남도","2023",24.5
"제주특별자치도","2018",27.3
"제주특별자치도","2019",23.2
"제주특별자치도","2020",25.8
"제주특별자치도","2021",25.3
"제주특별자치도","2022",25.0
"제주특별자치도","2023",23.5
