"시도별","성별","시점",데이터
"서울특별시","계","2018",4.8
"서울특별시","계","2019",4.4
"서울특별시","계","2020",4.6
"서울특별시","계","2021",4.8
"서울특별시","계","2022",3.4
"서울특별시","계","2023",2.7
"부산광역시","계","2018",4.1
"부산광역시","계","2019",3.7
"부산광역시","계","2020",4.2
"부산광역시","계","2021",3.4
"부산광역시","계","2022",3.0
"부산광역시","계","2023",3.1
"대구광역시","계","2018",4.4
"대구광역시","계","2019",3.7
"대구광역시","계","2020",3.9
"대구광역시","계","2021",3.7
"대구광역시","계","2022",2.9
"대구광역시","계","2023",3.1
"인천광역시","계","2018",4.3
"인천광역시","계","2019",4.4
"인천광역시","계","2020",4.6
"인천광역시","계","2021",4.0
"인천광역시","계","2022",3.3
"인천광역시","계","2023",3.2
"광주광역시","계","2018",3.8
"광주광역시","계","2019",3.7
"광주광역시","계","2020",3.9
"광주광역시","계","2021",3.6
"광주광역시","계","2022",2.9
"광주광역시","계","2023",2.5
"대전광역시","계","2018",4.2
"대전광역시","계","2019",4.2
"대전광역시","계","2020",4.4
"대전광역시","계","2021",3.3
"대전광역시","계","2022",2.4
"대전광역시","계","2023",2.8
"울산광역시","계","2018",4.6
"울산광역시","계","2019",4.2
"울산광역시","계","2020",4.2
"울산광역시","계","2021",3.6
"울산광역시","계","2022",3.2
"울산광역시","계","2023",3.4
"세종특별자치시","계","2018",2.3
"세종특별자치시","계","2019",2.7
"세종특별자치시","계","2020",2.8
"세종특별자치시","계","2021",2.1
"세종특별자치시","계","2022",2.0
"세종특별자치시","계","2023",2.0
"경기도","계","2018",3.8
"경기도","계","2019",3.8
"경기도","계","2020",4.0
"경기도","계","2021",3.7
"경기도","계","2022",2.7
"경기도","계","2023",2.6
"강원특별자치도","계","2018",2.9
"강원특별자치도","계","2019",3.6
"강원특별자치도","계","2020",3.9
"강원특별자치도","계","2021",3.6
"강원특별자치도","계","2022",3.2
"강원특별자치도","계","2023",2.8
"충청북도","계","2018",2.4
"충청북도","계","2019",3.1
"충청북도","계","2020",3.2
"충청북도","계","2021",2.5
"충청북도","계","2022",2.5
"충청북도","계","2023",2.3
"충청남도","계","2018",3.1
"충청남도","계","2019",2.9
"충청남도","계","2020",3.5
"충청남도","계","2021",2.3
"충청남도","계","2022",2.3
"충청남도","계","2023",2.6
"전북특별자치도","계","2018",2.7
"전북특별자치도","계","2019",2.7
"전북특별자치도","계","2020",2.5
"전북특별자치도","계","2021",2.2
"전북특별자치도","계","2022",2.4
"전북특별자치도","계","2023",2.5
"전라남도","계","2018",2.8
"전라남도","계","2019",2.6
"전라남도","계","2020",2.4
"전라남도","계","2021",2.3
"전라남도","계","2022",2.2
"전라남도","계","2023",2.2
"경상북도","계","2018",4.1
"경상북도","계","2019",3.9
"경상북도","계","2020",4.0
"경상북도","계","2021",3.2
"경상북도","계","2022",2.5
"경상북도","계","2023",2.6
"경상남도","계","2018",3.0
"경상남도","계","2019",3.8
"경상남도","계","2020",4.0
"경상남도","계","2021",4.1
"경상남도","계","2022",3.3
"경상남도","계","2023",2.5
"제주도","계","2018",2.0
"제주도","계","2019",2.1
"제주도","계","2020",2.5
"제주도","계","2021",3.1
"제주도","계","2022",2.1
"제주도","계","2023",1.9
