"시군구별","성별","시점",데이터
"서울특별시","계","2018",22.5
"서울특별시","계","2019",22.5
"서울특별시","계","2020",22.7
"서울특별시","계","2021",22.6
"서울특별시","계","2022",21.4
"서울특별시","계","2023",23.2
"부산광역시","계","2018",27.9
"부산광역시","계","2019",30.1
"부산광역시","계","2020",27.4
"부산광역시","계","2021",27.7
"부산광역시","계","2022",27.3
"부산광역시","계","2023",29.1
"대구광역시","계","2018",26.8
"대구광역시","계","2019",28.7
"대구광역시","계","2020",26.1
"대구광역시","계","2021",26.3
"대구광역시","계","2022",27.0
"대구광역시","계","2023",28.1
"인천광역시","계","2018",27.9
"인천광역시","계","2019",25.9
"인천광역시","계","2020",26.5
"인천광역시","계","2021",25.9
"인천광역시","계","2022",25.8
"인천광역시","계","2023",28.8
"광주광역시","계","2018",25.7
"광주광역시","계","2019",23.9
"광주광역시","계","2020",22.6
"광주광역시","계","2021",26.4
"광주광역시","계","2022",25.0
"광주광역시","계","2023",27.3
"대전광역시","계","2018",28.3
"대전광역시","계","2019",28.7
"대전광역시","계","2020",27.2
"대전광역시","계","2021",29.3
"대전광역시","계","2022",25.7
"대전광역시","계","2023",26.4
"울산광역시","계","2018",27.1
"울산광역시","계","2019",28.2
"울산광역시","계","2020",26.4
"울산광역시","계","2021",28.5
"울산광역시","계","2022",26.3
"울산광역시","계","2023",32.7
"세종특별자치시","계","2018",26.0
"세종특별자치시","계","2019",22.4
"세종특별자치시","계","2020",18.4
"세종특별자치시","계","2021",19.0
"세종특별자치시","계","2022",23.3
"세종특별자치시","계","2023",20.0
"경기도","계","2018",24.2
"경기도","계","2019",25.4
"경기도","계","2020",23.7
"경기도","계","2021",23.6
"경기도","계","2022",23.1
"경기도","계","2023",25.1
"강원특별자치도","계","2018",33.1
"강원특별자치도","계","2019",33.3
"강원특별자치도","계","2020",33.2
"강원특별자치도","계","2021",32.7
"강원특별자치도","계","2022",33.1
"강원특별자치도","계","2023",34.7
"충청북도","계","2018",31.1
"충청북도","계","2019",31.1
"충청북도","계","2020",27.1
"충청북도","계","2021",31.8
"충청북도","계","2022",29.0
"충청북도","계","2023",33.3
"충청남도","계","2018",35.5
"충청남도","계","2019",35.2
"충청남도","계","2020",34.7
"충청남도","계","2021",32.2
"충청남도","계","2022",33.2
"충청남도","계","2023",36.5
"전북특별자치도","계","2018",29.7
"전북특별자치도","계","2019",30.2
"전북특별자치도","계","2020",27.8
"전북특별자치도","계","2021",28.5
"전북특별자치도","계","2022",26.1
"전북특별자치도","계","2023",25.6
"전라남도","계","2018",28.0
"전라남도","계","2019",25.4
"전라남도","계","2020",28.5
"전라남도","계","2021",30.2
"전라남도","계","2022",26.6
"전라남도","계","2023",29.2
"경상북도","계","2018",29.6
"경상북도","계","2019",29.4
"경상북도","계","2020",28.6
"경상북도","계","2021",29.0
"경상북도","계","2022",26.8
"경상북도","계","2023",30.5
"경상남도","계","2018",28.9
"경상남도","계","2019",28.0
"경상남도","계","2020",25.3
"경상남도","계","2021",26.3
"경상남도","계","2022",26.7
"경상남도","계","2023",28.5
"제주도","계","2018",30.6
"제주도","계","2019",31.7
"제주도","계","2020",30.0
"제주도","계","2021",26.1
"제주도","계","2022",26.0
"제주도","계","2023",30.5
