시도,연도,자살률,경제활동참가율,개인 소득,정신건강관련기관수,고령인구비율,고용률,우울감 경험률,실업률,스트레스 인지율,기초생활수급자수
서울특별시,2018,22.5,62.6,25053,578,14.4,59.6,4.9,4.8,27.7,289342
서울특별시,2019,22.5,62.7,26229,637,15.2,60.0,6.5,4.4,27.2,317269
서울특별시,2020,22.7,62.1,26428,680,16.1,59.3,6.3,4.6,29.5,369518
서울특별시,2021,22.6,62.3,27119,726,16.8,59.2,6.8,4.8,28.0,402632
서울특별시,2022,21.4,62.5,28187,758,17.6,60.4,7.1,3.4,25.7,412409
서울특별시,2023,23.2,62.8,29372,786,18.5,61.1,8.3,2.7,27.1,427880
부산광역시,2018,27.9,58.1,20022,178,17.1,55.7,6.0,4.1,24.4,159031
부산광역시,2019,30.1,58.8,21096,200,18.2,56.6,5.5,3.7,23.7,172439
부산광역시,2020,27.4,58.1,21715,206,19.4,55.6,5.7,4.2,25.8,196299
부산광역시,2021,27.7,58.2,22338,211,20.4,56.2,6.9,3.4,25.7,217335
부산광역시,2022,27.3,58.9,23730,214,21.5,57.1,7.5,3.0,22.8,227066
부산광역시,2023,29.1,59.6,24026,226,22.6,57.7,7.7,3.1,23.9,234657
대구광역시,2018,26.8,60.9,19891,121,14.7,58.2,3.4,4.4,23.3,110495
대구광역시,2019,28.7,60.2,20760,123,15.6,57.9,5.4,3.7,25.1,117594
대구광역시,2020,26.1,58.9,21581,128,16.6,56.6,5.4,3.9,23.1,131374
대구광역시,2021,26.3,60.5,22197,133,17.5,58.2,5.8,3.7,24.2,144092
대구광역시,2022,27.0,60.9,23425,137,18.4,59.1,6.1,2.9,22.6,148146
대구광역시,2023,28.1,61.7,23760,143,19.6,59.8,6.7,3.1,23.8,154802
인천광역시,2018,27.9,65.7,20522,112,12.3,62.9,8.1,4.3,31.7,110257
인천광역시,2019,25.9,65.4,21517,119,13.0,62.5,7.6,4.4,29.9,122027
인천광역시,2020,26.5,64.2,22338,121,14.0,61.3,7.9,4.6,32.8,142628
인천광역시,2021,25.9,63.9,23053,122,14.8,61.3,8.8,4.0,29.5,159186
인천광역시,2022,25.8,64.8,24387,126,15.6,62.7,8.0,3.3,26.3,166083
인천광역시,2023,28.8,65.2,24665,130,16.6,63.1,6.5,3.2,27.0,174116
광주광역시,2018,25.7,61.7,20675,84,12.8,59.4,4.5,3.8,26.4,72757
광주광역시,2019,23.9,61.5,21759,85,13.4,59.3,5.4,3.7,28.1,76193
광주광역시,2020,22.6,61.0,22766,89,14.2,58.7,4.5,3.9,27.4,84762
광주광역시,2021,26.4,60.3,23649,89,14.8,58.2,6.3,3.6,27.7,91548
광주광역시,2022,25.0,60.4,25203,88,15.6,58.6,6.3,2.9,25.9,94137
광주광역시,2023,27.3,61.6,25378,89,16.5,60.1,7.0,2.5,24.7,96473
대전광역시,2018,28.3,61.3,21756,116,12.7,58.7,4.7,4.2,27.9,56324
대전광역시,2019,28.7,62.4,22978,121,13.5,59.8,4.2,4.2,25.2,59317
대전광역시,2020,27.2,63.4,23916,123,14.4,60.7,4.8,4.4,23.9,66775
대전광역시,2021,29.3,63.0,24774,126,15.2,60.9,6.5,3.3,24.0,72908
대전광역시,2022,25.7,63.1,26158,132,16.1,61.6,6.7,2.4,24.5,75140
대전광역시,2023,26.4,63.4,26493,135,17.0,61.6,7.9,2.8,28.3,77554
울산광역시,2018,27.1,61.8,23252,38,10.7,59.0,4.8,4.6,25.2,22939
울산광역시,2019,28.2,61.7,24079,39,11.5,59.1,5.4,4.2,23.9,26594
울산광역시,2020,26.4,60.7,24671,40,12.6,58.1,5.5,4.2,25.6,33232
울산광역시,2021,28.5,59.8,25672,40,13.6,57.7,6.3,3.6,24.8,38575
울산광역시,2022,26.3,61.1,27079,42,14.7,59.2,7.8,3.2,21.9,41510
울산광역시,2023,32.7,61.9,28102,45,15.9,59.7,8.6,3.4,25.8,43817
세종특별자치시,2018,26.0,63.2,22790,13,9.3,61.8,6.1,2.3,30.1,4862
세종특별자치시,2019,22.4,64.3,23515,14,9.4,62.5,4.9,2.7,29.2,5749
세종특별자치시,2020,18.4,64.5,24369,15,9.8,62.7,6.1,2.8,24.1,7107
세종특별자치시,2021,19.0,64.0,25346,15,10.1,62.6,6.6,2.1,25.5,7880
세종특별자치시,2022,23.3,65.0,25854,19,10.5,63.7,4.1,2.0,20.1,8165
세종특별자치시,2023,20.0,65.9,25995,21,11.0,64.6,8.8,2.0,25.8,8607
경기도,2018,24.2,64.4,21488,469,11.9,62.0,6.2,3.8,28.4,297122
경기도,2019,25.4,64.3,22552,482,12.5,61.9,6.5,3.8,27.7,328752
경기도,2020,23.7,62.8,23379,513,13.2,60.3,6.3,4.0,29.0,379725
경기도,2021,23.6,63.5,23962,547,13.9,61.1,7.1,3.7,28.1,422615
경기도,2022,23.1,65.7,25248,563,14.7,63.9,7.1,2.7,24.6,443985
경기도,2023,25.1,65.7,25696,599,15.6,64.0,7.7,2.6,27.7,474086
강원특별자치도,2018,33.1,62.5,19285,74,18.8,60.7,5.3,2.9,27.0,67064
강원특별자치도,2019,33.3,64.6,20221,73,19.6,62.3,5.7,3.6,24.9,71493
강원특별자치도,2020,33.2,63.3,21294,70,20.7,60.8,5.7,3.9,28.3,78554
강원특별자치도,2021,32.7,63.7,22104,72,21.7,61.4,7.2,3.6,28.3,84114
강원특별자치도,2022,33.1,63.9,23029,71,22.8,61.8,7.1,3.2,25.5,85681
강원특별자치도,2023,34.7,65.1,23326,70,24.0,63.3,8.6,2.8,27.2,86667
충청북도,2018,31.1,64.9,19734,79,16.4,63.3,5.7,2.4,27.1,59109
충청북도,2019,31.1,64.9,20770,81,17.1,62.9,6.4,3.1,26.2,62507
충청북도,2020,27.1,65.3,21801,81,18.0,63.2,5.9,3.2,26.2,69262
충청북도,2021,31.8,65.0,22873,78,18.9,63.3,7.3,2.5,27.2,76619
충청북도,2022,29.0,66.5,24181,83,19.9,64.9,7.8,2.5,25.2,78709
충청북도,2023,33.3,67.0,24667,88,20.8,65.4,7.5,2.3,26.3,81577
충청남도,2018,35.5,65.6,19292,110,17.5,63.5,6.8,3.1,26.9,65692
충청남도,2019,35.2,65.6,20125,111,18.2,63.7,6.5,2.9,29.7,69022
충청남도,2020,34.7,64.6,21308,113,19.1,62.4,6.0,3.5,27.5,75720
충청남도,2021,32.2,64.5,22047,110,19.8,63.0,8.1,2.3,27.0,84802
충청남도,2022,33.2,65.8,23176,109,20.6,64.3,7.9,2.3,25.4,88800
충청남도,2023,36.5,66.5,23647,114,21.3,64.8,8.3,2.6,27.7,92992
전북특별자치도,2018,29.7,59.9,19302,104,19.5,58.3,8.7,2.7,28.7,101228
전북특별자치도,2019,30.2,61.0,20271,106,20.4,59.3,6.7,2.7,26.1,105955
전북특별자치도,2020,27.8,61.5,21444,112,21.4,59.9,4.8,2.5,27.0,115182
전북특별자치도,2021,28.5,62.6,22029,115,22.3,61.2,7.6,2.2,26.2,125438
전북특별자치도,2022,26.1,63.7,23633,118,23.2,62.2,7.8,2.4,24.9,128522
전북특별자치도,2023,25.6,64.9,24157,116,24.1,63.3,9.4,2.5,26.5,131557
전라남도,2018,28.0,64.2,19384,83,21.9,62.4,4.4,2.8,25.4,84819
전라남도,2019,25.4,65.1,20355,83,22.6,63.4,4.2,2.6,24.2,87003
전라남도,2020,28.5,65.4,21395,83,23.5,63.9,4.2,2.4,21.7,92666
전라남도,2021,30.2,66.2,22270,86,24.3,64.6,5.1,2.3,23.7,101475
전라남도,2022,26.6,67.8,23748,88,25.2,66.3,5.8,2.2,21.5,104064
전라남도,2023,29.2,68.4,24604,90,26.1,66.9,5.8,2.2,25.6,107240
경상북도,2018,29.6,64.2,18856,120,19.8,61.6,5.3,4.1,24.5,107309
경상북도,2019,29.4,64.2,19655,127,20.6,61.7,6.5,3.9,24.3,113845
경상북도,2020,28.6,63.7,20631,121,21.7,61.1,6.1,4.0,25.2,125106
경상북도,2021,29.0,63.0,21251,121,22.7,61.0,6.0,3.2,24.7,141175
경상북도,2022,26.8,64.5,22426,121,23.8,62.9,6.8,2.5,23.4,147353
경상북도,2023,30.5,65.2,22921,120,24.7,63.5,7.5,2.6,23.9,151253
경상남도,2018,28.9,63.3,19217,121,15.5,61.4,5.2,3.0,25.0,112183
경상남도,2019,28.0,63.7,19860,123,16.3,61.3,4.8,3.8,24.0,121275
경상남도,2020,25.3,63.1,20622,128,17.4,60.6,6.4,4.0,26.4,137605
경상남도,2021,26.3,63.2,21262,130,18.4,60.7,7.1,4.1,24.9,156832
경상남도,2022,26.7,63.1,22447,133,19.5,61.1,6.9,3.3,23.1,168197
경상남도,2023,28.5,63.6,22769,133,20.6,62.0,7.6,2.5,24.5,176280
