"시도별(1)","시점",전체
"서울특별시","2018",578
"서울특별시","2019",637
"서울특별시","2020",680
"서울특별시","2021",726
"서울특별시","2022",758
"서울특별시","2023",786
"부산광역시","2018",178
"부산광역시","2019",200
"부산광역시","2020",206
"부산광역시","2021",211
"부산광역시","2022",214
"부산광역시","2023",226
"대구광역시","2018",121
"대구광역시","2019",123
"대구광역시","2020",128
"대구광역시","2021",133
"대구광역시","2022",137
"대구광역시","2023",143
"인천광역시","2018",112
"인천광역시","2019",119
"인천광역시","2020",121
"인천광역시","2021",122
"인천광역시","2022",126
"인천광역시","2023",130
"광주광역시","2018",84
"광주광역시","2019",85
"광주광역시","2020",89
"광주광역시","2021",89
"광주광역시","2022",88
"광주광역시","2023",89
"대전광역시","2018",116
"대전광역시","2019",121
"대전광역시","2020",123
"대전광역시","2021",126
"대전광역시","2022",132
"대전광역시","2023",135
"울산광역시","2018",38
"울산광역시","2019",39
"울산광역시","2020",40
"울산광역시","2021",40
"울산광역시","2022",42
"울산광역시","2023",45
"세종특별자치시","2018",13
"세종특별자치시","2019",14
"세종특별자치시","2020",15
"세종특별자치시","2021",15
"세종특별자치시","2022",19
"세종특별자치시","2023",21
"경기도","2018",469
"경기도","2019",482
"경기도","2020",513
"경기도","2021",547
"경기도","2022",563
"경기도","2023",599
"강원특별자치도","2018",74
"강원특별자치도","2019",73
"강원특별자치도","2020",70
"강원특별자치도","2021",72
"강원특별자치도","2022",71
"강원특별자치도","2023",70
"충청북도","2018",79
"충청북도","2019",81
"충청북도","2020",81
"충청북도","2021",78
"충청북도","2022",83
"충청북도","2023",88
"충청남도","2018",110
"충청남도","2019",111
"충청남도","2020",113
"충청남도","2021",110
"충청남도","2022",109
"충청남도","2023",114
"전북특별자치도","2018",104
"전북특별자치도","2019",106
"전북특별자치도","2020",112
"전북특별자치도","2021",115
"전북특별자치도","2022",118
"전북특별자치도","2023",116
"전라남도","2018",83
"전라남도","2019",83
"전라남도","2020",83
"전라남도","2021",86
"전라남도","2022",88
"전라남도","2023",90
"경상북도","2018",120
"경상북도","2019",127
"경상북도","2020",121
"경상북도","2021",121
"경상북도","2022",121
"경상북도","2023",120
"경상남도","2018",121
"경상남도","2019",123
"경상남도","2020",128
"경상남도","2021",130
"경상남도","2022",133
"경상남도","2023",133
"제주특별자치도","2018",15
"제주특별자치도","2019",38
"제주특별자치도","2020",38
"제주특별자치도","2021",38
"제주특별자치도","2022",42
"제주특별자치도","2023",44
